start_idx,t0_init_ordinal,lam_init,t0_init_year,t0_converged_ordinal,t0_converged_date,lam_converged,t0_converged_year,final_nll,converged_status,basin
0,736016,1.1807258684213427e-07,2016.142884620314,736016,2016-02-22,6.586968112041957e-08,2016.1429093994918,-591.7712514692624,False,other
1,737060,7.61335714942448e-06,2019.001431610813,737068,2019-01-09,9.988221098889892e-08,2019.0232450787466,-621.0522325130498,True,~2019 local minimum
2,727629,0.0006750818959983659,1993.1804546325752,727631,1993-03-09,1.7849481315935766e-08,1993.1839649551976,-545.7833687439593,False,other
3,735858,3.1801685396825533e-05,2015.7100835711096,735971,2016-01-08,6.516345593712408e-08,2016.0204828964404,-590.931360473164,False,other
4,728048,1.4213517392497847e-07,1994.327501058406,728048,1994-04-30,1.8551999631619518e-08,1994.3275212450474,-546.4663401484157,True,other
5,731042,0.00030715311348320987,2002.5247540409791,731159,2002-11-05,2.539061244995179e-08,2002.8451827492038,-553.5930559483706,True,other
6,734411,5.745545826004838e-05,2011.7489424285893,734503,2012-01-01,3.9727936800325753e-08,2012.0019434587925,-566.0246456031023,True,other
7,731938,3.896467448903605e-09,2004.9765053850622,731938,2004-12-23,2.8418377603337324e-08,2004.9765053850622,-556.4605263734614,True,other
8,733309,2.797182437055152e-10,2008.7320014137003,733309,2008-09-24,3.503587273769561e-08,2008.7320014137003,-563.0290333182116,False,other
9,736678,2.6402849115540552e-06,2017.9547555311574,736678,2017-12-15,8.366330210820892e-08,2017.9547555311574,-607.5371265765641,False,other
10,735820,3.031668957927686e-08,2015.6069272587213,735820,2015-08-10,6.173550815299433e-08,2015.6069272564077,-588.2126991650892,False,other
11,738443,0.00017858618063522558,2022.7876754163285,738805,2023-10-12,8.929314031759776e-05,2023.7800207329515,121709.10823879999,False,~2023 global minimum
12,736070,2.3039388865406484e-09,2016.2921235065546,736070,2016-04-16,6.721009641070337e-08,2016.2921234901235,-592.8384813979617,False,other
13,732225,2.0259389798335266e-10,2005.7642110218642,732225,2005-10-06,2.97920063982549e-08,2005.7642110217334,-557.6522882134971,True,other
14,728371,6.044253528525768e-06,1995.2122451058558,728372,1995-03-20,1.9112592819939592e-08,1995.214651978806,-547.0302292279644,False,other
15,735656,0.0005923359983328621,2015.1565225135198,736008,2016-02-14,6.593053975128664e-08,2016.120240340207,-591.6189007253494,True,other
16,730487,3.919385144894681e-08,2001.0046779269871,730487,2001-01-02,2.363948794377179e-08,2001.0046787197466,-551.7009904650089,True,other
17,732260,2.119822578602948e-09,2005.860027517013,732260,2005-11-10,2.969709382690507e-08,2005.8600275156778,-557.7680312146102,True,other
18,728070,2.137639587007078e-07,1994.3886071543118,728070,1994-05-22,1.859735334735936e-08,1994.3886564310837,-546.5042644773694,True,other
19,729267,4.8831263618946465e-06,1997.664056545865,729267,1997-08-31,2.0746546624330166e-08,1997.664056545865,-548.7636262147382,False,other
20,731861,6.7413577117988e-05,2004.765418642426,731990,2005-02-13,2.8572098505751462e-08,2005.118475199566,-556.6521899161303,True,other
21,735107,1.5366200289814107e-08,2013.6525220915116,735107,2013-08-27,5.114831766409495e-08,2013.6525220915116,-578.0824107889204,True,other
22,736735,4.298832291246921e-05,2018.1112032049662,736899,2018-07-24,9.183224681208587e-08,2018.5608262174412,-614.6716139078459,True,~2019 local minimum
23,731248,1.0430298260548678e-08,2003.0885500331378,731248,2003-02-02,2.6100398338945025e-08,2003.0885500331378,-554.0059242312551,True,other
24,734887,9.511902396778286e-10,2013.0519096781898,734887,2013-01-19,4.825065878095326e-08,2013.0519096780163,-575.5951570235986,True,other
