P_name,Q_name,C_name,m,n,k,p,HS?,log10(p),DS(p),DS(p),min_rec_length,breakpoints
OZ254904.1,JX878407.1,PZ123393.1,107,20,14,0.000000000005,0,-11.3038,0.00391,3.911748e-03,41,8742-10522 & 10583-11743
OZ254904.1,JX878407.1,PZ390102.1,107,21,14,0.000000000015,0,-10.8347,0.01148,1.147734e-02,41,8742-10522 & 10583-11743
OZ254904.1,JX878407.1,PZ390103.1,107,21,14,0.000000000015,0,-10.8347,0.01148,1.147734e-02,41,8742-10522 & 10583-11743
OZ254904.1,JX878407.1,OZ389617.1,107,21,14,0.000000000015,0,-10.8347,0.01148,1.147734e-02,41,8742-10522 & 10583-11743
OZ254904.1,JX878407.1,PZ123394.1,106,21,14,0.000000000016,0,-10.7858,0.01284,1.283541e-02,41,8742-10522 & 10583-11743
OZ254904.1,JX878407.1,PZ123392.1,107,20,14,0.000000000005,0,-11.3038,0.00391,3.911748e-03,41,8742-10522 & 10583-11743
OZ254904.1,JX878407.1,PV394719.1,107,21,14,0.000000000015,0,-10.8347,0.01148,1.147734e-02,41,8742-10522 & 10583-11743
OZ254904.1,JX878407.1,OZ453692.1,106,21,14,0.000000000016,0,-10.7858,0.01284,1.283541e-02,41,8742-10522 & 10583-11743
OZ254904.1,JX878407.1,PZ390100.1,107,21,14,0.000000000015,0,-10.8347,0.01148,1.147734e-02,41,8742-10522 & 10583-11743
OZ254904.1,JX878407.1,PZ390101.1,107,21,14,0.000000000015,0,-10.8347,0.01148,1.147734e-02,41,8742-10522 & 10583-11743
