P_name,Q_name,C_name,m,n,k,p,HS?,log10(p),DS(p),DS(p),min_rec_length,breakpoints
OZ235149.1,OZ375330.1,PP601225.1,298,90,30,0.000000000000,0,-16.3390,0.00000,3.625667e-08,64732,93744-94404 & 161078-161995,93744-94404 & 165142-165403
OZ235149.1,OZ375330.1,OZ254330.1,280,91,34,0.000000000000,0,-18.3033,0.00000,3.936620e-10,66882,93744-94404 & 165142-165403
OZ235149.1,OZ375330.1,PQ221907.1,283,87,29,0.000000000000,0,-15.5291,0.00000,2.340511e-07,63463,93744-94404 & 161078-161995,93744-94404 & 165142-165403
OZ235149.1,OZ375330.1,PQ221908.1,278,84,31,0.000000000000,0,-17.3500,0.00000,3.535321e-09,62747,93744-94404 & 161078-161995,93744-94404 & 165142-165403
OZ235149.1,OZ375330.1,OZ389617.1,293,95,40,0.000000000000,0,-22.6267,0.00000,1.869589e-14,68792,93744-94404 & 165142-165403
PQ221701.1,OZ375330.1,OZ254712.1,287,81,33,0.000000000000,0,-19.9483,0.00000,8.915051e-12,63800,93744-97285 & 165218-165403
OZ235149.1,OZ375330.1,PZ123392.1,293,89,34,0.000000000000,0,-19.3097,0.00000,3.879473e-11,67147,93744-94404 & 165142-165403
OZ235149.1,OZ375330.1,PZ346337.1,295,93,36,0.000000000000,0,-20.1035,0.00000,6.236468e-12,68792,93744-94404 & 165142-165403
OZ235149.1,OZ375330.1,PX925915.1,278,96,40,0.000000000000,0,-21.5754,0.00000,2.103995e-13,68777,93744-94404 & 165142-165403
OZ235149.1,OZ375330.1,PZ390100.1,293,95,40,0.000000000000,0,-22.6267,0.00000,1.869589e-14,68792,93744-94404 & 165142-165403
OZ235149.1,OZ375330.1,PZ390103.1,292,96,40,0.000000000000,0,-22.3425,0.00000,3.597049e-14,68792,93744-94404 & 165142-165403
OZ235149.1,OZ375330.1,PX442285.1,291,96,40,0.000000000000,0,-22.2888,0.00000,4.070087e-14,68789,93744-94404 & 165142-165403
OZ235149.1,OZ375330.1,PX480709.1,271,95,39,0.000000000000,0,-20.6682,0.00000,1.698981e-12,67350,93744-94404 & 165142-165403
OZ235149.1,OZ375330.1,PQ305764.1,282,84,29,0.000000000000,0,-16.0141,0.00000,7.661482e-08,62061,93744-94404 & 161078-161995,93744-94404 & 165142-165403
OZ235149.1,OZ375330.1,PQ305769.1,286,85,29,0.000000000000,0,-15.9963,0.00000,7.981828e-08,62031,93744-94404 & 161078-161995,93744-94404 & 165142-165403
OZ235149.1,OZ375330.1,PQ305770.1,287,89,30,0.000000000000,0,-16.0696,0.00000,6.742335e-08,63483,93744-94404 & 161078-161995,93744-94404 & 165142-165403
OZ235149.1,OZ375330.1,PQ305771.1,284,86,29,0.000000000000,0,-15.7416,0.00000,1.434871e-07,62987,93744-94404 & 161078-161995,93744-94404 & 165142-165403
OZ235149.1,OZ375330.1,PQ221895.1,271,79,28,0.000000000000,0,-15.7272,0.00000,1.483166e-07,60291,93744-94404 & 161078-161995,93744-94404 & 165142-165403
OZ235149.1,OZ375330.1,PQ240043.1,295,93,36,0.000000000000,0,-20.1035,0.00000,6.236468e-12,68792,93744-94404 & 165142-165403
OZ235149.1,OZ375330.1,PP601221.1,282,89,29,0.000000000000,0,-15.1514,0.00000,5.584976e-07,63722,93744-94404 & 161078-161995,93744-94404 & 165142-165403
OZ235149.1,OZ375330.1,PP601222.1,298,90,30,0.000000000000,0,-16.3390,0.00000,3.625667e-08,64732,93744-94404 & 161078-161995,93744-94404 & 165142-165403
OZ235149.1,OZ375330.1,OZ254506.1,278,91,34,0.000000000000,0,-18.2081,0.00000,4.901555e-10,66888,93744-94404 & 165142-165403
OZ235149.1,OZ375330.1,OZ254507.1,271,89,34,0.000000000000,0,-18.2715,0.00000,4.235225e-10,66160,93744-94404 & 165142-165403
PQ221701.1,OZ375330.1,OZ254900.1,275,81,35,0.000000000000,0,-21.0161,0.00000,7.625736e-13,63059,93744-97285 & 165218-165403
OZ235149.1,OZ375330.1,OZ244989.1,295,93,36,0.000000000000,0,-20.1035,0.00000,6.236468e-12,68792,93744-94404 & 165142-165403
OZ235149.1,OZ375330.1,OZ245036.1,295,93,36,0.000000000000,0,-20.1035,0.00000,6.236468e-12,68792,93744-94404 & 165142-165403
