P_name,Q_name,C_name,m,n,k,p,HS?,log10(p),DS(p),DS(p),min_rec_length,breakpoints
PQ221490.1,OZ375330.1,PX442285.1,204,57,24,0.000000000000,0,-14.2082,0.00000,4.900049e-06,34854,124956-128565 & 165218-165915,124956-128565 & 166658-166842
PQ221490.1,OZ375330.1,PX480709.1,190,55,22,0.000000000000,0,-12.3983,0.00032,3.162960e-04,33419,124956-128565 & 165218-165915,124956-128565 & 166658-166842
PQ221490.1,OZ375330.1,PV844899.1,207,55,22,0.000000000000,0,-13.1227,0.00006,5.966198e-05,34737,124956-128565 & 165218-165915,124956-128565 & 166658-166842
PQ221490.1,OZ375330.1,PV849428.1,206,56,24,0.000000000000,0,-14.5312,0.00000,2.329165e-06,34853,124956-128565 & 165218-165915,124956-128565 & 166658-166842
PQ221490.1,OZ375330.1,PV294984.1,208,54,20,0.000000000002,0,-11.7192,0.00151,1.509793e-03,34854,124956-128565 & 165218-165915,124956-128565 & 166658-166842
PQ221490.1,OZ375330.1,PV448277.1,208,54,20,0.000000000002,0,-11.7192,0.00151,1.509793e-03,34857,124956-128565 & 165218-165915,124956-128565 & 166658-166842
PQ221490.1,OZ375330.1,PV394719.1,207,55,20,0.000000000003,0,-11.4906,0.00255,2.554526e-03,34854,124956-128565 & 165218-165915,124956-128565 & 166658-166842
PQ221490.1,OZ375330.1,PQ963869.1,206,56,24,0.000000000000,0,-14.5312,0.00000,2.329165e-06,34857,124956-128565 & 165218-165915,124956-128565 & 166658-166842
PQ221490.1,OZ375330.1,PV002568.1,208,54,20,0.000000000002,0,-11.7192,0.00151,1.509793e-03,34841,124956-128565 & 165218-165915,124956-128565 & 166658-166842
PQ221490.1,OZ375330.1,PQ352021.1,195,53,20,0.000000000004,0,-11.4199,0.00301,3.005111e-03,32665,124956-128565 & 165218-165915,124956-128565 & 166658-166842
PQ221490.1,OZ375330.1,PQ499044.2,207,55,22,0.000000000000,0,-13.1227,0.00006,5.966198e-05,34857,124956-128565 & 165218-165915,124956-128565 & 166658-166842
PQ221490.1,OZ375330.1,PQ628240.1,202,54,20,0.000000000003,0,-11.4943,0.00253,2.532531e-03,34854,124956-128565 & 165218-165915,124956-128565 & 166658-166842
PQ221490.1,OZ375330.1,PQ662929.1,208,54,20,0.000000000002,0,-11.7192,0.00151,1.509793e-03,34834,124956-128565 & 165218-165915,124956-128565 & 166658-166842
PQ221490.1,OZ375330.1,OZ462776.1,183,55,24,0.000000000000,0,-13.6772,0.00002,1.664170e-05,34830,124956-128565 & 165218-165915,124956-128565 & 166658-166842
OZ235142.1,OZ375330.1,OZ470124.1,186,53,23,0.000000000000,0,-13.4810,0.00003,2.614622e-05,32959,124956-127809 & 165218-165915
PQ221490.1,OZ375330.1,PX480710.1,191,53,22,0.000000000000,0,-12.8814,0.00010,1.039842e-04,33065,124956-128565 & 165218-165915,124956-128565 & 166658-166842
PQ221490.1,OZ375330.1,PX488349.1,208,54,20,0.000000000002,0,-11.7192,0.00151,1.509793e-03,34857,124956-128565 & 165218-165915,124956-128565 & 166658-166842
PQ221490.1,OZ375330.1,PQ305808.1,195,49,19,0.000000000004,0,-11.4047,0.00311,3.112305e-03,33492,124956-128565 & 165218-165915,124956-128565 & 166658-166842
PQ221490.1,OZ375330.1,OZ389617.1,206,56,24,0.000000000000,0,-14.5312,0.00000,2.329165e-06,34857,124956-128565 & 165218-165915,124956-128565 & 166658-166842
PQ221490.1,OZ375330.1,OZ414393.1,205,57,24,0.000000000000,0,-14.2535,0.00000,4.415185e-06,34857,124956-128565 & 165218-165915,124956-128565 & 166658-166842
PQ221490.1,OZ375330.1,OZ245036.1,208,54,20,0.000000000002,0,-11.7192,0.00151,1.509793e-03,34857,124956-128565 & 165218-165915,124956-128565 & 166658-166842
PQ221490.1,OZ375330.1,PX925915.1,196,57,24,0.000000000000,0,-13.8387,0.00001,1.147514e-05,34843,124956-128565 & 165218-165915,124956-128565 & 166658-166842
PQ221701.1,OZ375330.1,PZ123392.1,208,60,21,0.000000000004,0,-11.3850,0.00326,3.256450e-03,33280,124956-128565 & 165218-165915
PQ221701.1,OZ375330.1,PZ123394.1,207,62,23,0.000000000000,0,-12.4892,0.00026,2.565364e-04,33294,124956-128565 & 165218-165915
PQ221701.1,OZ375330.1,PZ123393.1,209,60,21,0.000000000004,0,-11.4236,0.00298,2.979534e-03,33287,124956-128565 & 165218-165915
PQ221490.1,OZ375330.1,PZ346334.1,205,57,24,0.000000000000,0,-14.2535,0.00000,4.415185e-06,34857,124956-128565 & 165218-165915,124956-128565 & 166658-166842
PQ221490.1,OZ375330.1,PZ346337.1,208,54,20,0.000000000002,0,-11.7192,0.00151,1.509793e-03,34857,124956-128565 & 165218-165915,124956-128565 & 166658-166842
PQ221490.1,OZ375330.1,PZ346336.1,205,57,24,0.000000000000,0,-14.2535,0.00000,4.415185e-06,34857,124956-128565 & 165218-165915,124956-128565 & 166658-166842
PQ221490.1,OZ375330.1,PZ346333.1,205,57,24,0.000000000000,0,-14.2535,0.00000,4.415185e-06,34857,124956-128565 & 165218-165915,124956-128565 & 166658-166842
PQ221490.1,OZ375330.1,PZ390101.1,206,56,24,0.000000000000,0,-14.5312,0.00000,2.329165e-06,34857,124956-128565 & 165218-165915,124956-128565 & 166658-166842
PQ221490.1,OZ375330.1,PZ390102.1,206,56,24,0.000000000000,0,-14.5312,0.00000,2.329165e-06,34857,124956-128565 & 165218-165915,124956-128565 & 166658-166842
PQ221490.1,OZ375330.1,PZ390100.1,206,56,24,0.000000000000,0,-14.5312,0.00000,2.329165e-06,34857,124956-128565 & 165218-165915,124956-128565 & 166658-166842
PQ221490.1,OZ375330.1,OZ474843.1,205,57,24,0.000000000000,0,-14.2535,0.00000,4.415185e-06,34857,124956-128565 & 165218-165915,124956-128565 & 166658-166842
PQ221490.1,OZ375330.1,OZ474844.1,205,57,24,0.000000000000,0,-14.2535,0.00000,4.415185e-06,34857,124956-128565 & 165218-165915,124956-128565 & 166658-166842
PQ221490.1,OZ375330.1,PZ390103.1,205,57,24,0.000000000000,0,-14.2535,0.00000,4.415185e-06,34857,124956-128565 & 165218-165915,124956-128565 & 166658-166842
PQ221490.1,OZ375330.1,OZ462706.1,202,53,24,0.000000000000,0,-15.0829,0.00000,6.539458e-07,33229,124956-128565 & 165218-165915,124956-128565 & 166658-166842
PQ221490.1,OZ375330.1,PQ240043.1,208,54,20,0.000000000002,0,-11.7192,0.00151,1.509793e-03,34854,124956-128565 & 165218-165915,124956-128565 & 166658-166842
PQ221490.1,OZ375330.1,OZ462771.1,177,55,24,0.000000000000,0,-13.3715,0.00003,3.364458e-05,34041,124956-128565 & 165218-165915,124956-128565 & 166658-166842
PQ221490.1,OZ375330.1,OZ334403.1,205,57,24,0.000000000000,0,-14.2535,0.00000,4.415185e-06,34857,124956-128565 & 165218-165915,124956-128565 & 166658-166842
PQ221490.1,OZ375330.1,OZ370097.1,208,54,20,0.000000000002,0,-11.7192,0.00151,1.509793e-03,34848,124956-128565 & 165218-165915,124956-128565 & 166658-166842
PQ221490.1,OZ375330.1,OZ412016.1,208,54,20,0.000000000002,0,-11.7192,0.00151,1.509793e-03,34857,124956-128565 & 165218-165915,124956-128565 & 166658-166842
PQ221490.1,OZ375330.1,OZ470950.1,190,55,24,0.000000000000,0,-14.0225,0.00001,7.515075e-06,33349,124956-128565 & 165218-165915,124956-128565 & 166658-166842
PQ221490.1,OZ375330.1,OZ474762.1,205,56,24,0.000000000000,0,-14.4862,0.00000,2.583890e-06,34804,124956-128565 & 165218-165915,124956-128565 & 166658-166842
PQ221490.1,OZ375330.1,OZ453692.1,203,57,23,0.000000000000,0,-13.3433,0.00004,3.590043e-05,34681,124956-128565 & 165218-165915,124956-128565 & 166658-166842
PQ221490.1,OZ375330.1,OZ413597.1,203,53,24,0.000000000000,0,-15.1286,0.00000,5.885396e-07,33725,124956-128565 & 165218-165915,124956-128565 & 166658-166842
PQ221490.1,OZ375330.1,OZ414391.1,205,57,24,0.000000000000,0,-14.2535,0.00000,4.415185e-06,34857,124956-128565 & 165218-165915,124956-128565 & 166658-166842
PQ221490.1,OZ375330.1,OZ254761.1,191,50,18,0.000000000058,0,-10.2397,0.04455,4.454901e-02,33155,124956-128565 & 165218-165915,124956-128565 & 166658-166842
PQ221701.1,OZ375330.1,OZ254904.1,194,60,21,0.000000000015,0,-10.8250,0.01177,1.177208e-02,33114,124956-128565 & 165218-165915
PQ221490.1,OZ375330.1,OZ254313.1,208,54,20,0.000000000002,0,-11.7192,0.00151,1.509793e-03,34829,124956-128565 & 165218-165915,124956-128565 & 166658-166842
PQ221490.1,OZ375330.1,PQ178862.2,208,54,20,0.000000000002,0,-11.7192,0.00151,1.509793e-03,34857,124956-128565 & 165218-165915,124956-128565 & 166658-166842
PQ221490.1,OZ375330.1,OZ254900.1,193,49,18,0.000000000032,0,-10.5000,0.02472,2.471655e-02,32792,124956-128565 & 165218-165915,124956-128565 & 166658-166842
PQ221490.1,OZ375330.1,OZ244989.1,208,54,20,0.000000000002,0,-11.7192,0.00151,1.509793e-03,34857,124956-128565 & 165218-165915,124956-128565 & 166658-166842
PQ221490.1,OZ375330.1,OZ474763.1,205,56,24,0.000000000000,0,-14.4862,0.00000,2.583890e-06,34817,124956-128565 & 165218-165915,124956-128565 & 166658-166842
PQ221490.1,OZ375330.1,OZ474764.1,205,56,24,0.000000000000,0,-14.4862,0.00000,2.583890e-06,34816,124956-128565 & 165218-165915,124956-128565 & 166658-166842
PQ221490.1,OZ375330.1,OZ474840.1,205,57,24,0.000000000000,0,-14.2535,0.00000,4.415185e-06,34857,124956-128565 & 165218-165915,124956-128565 & 166658-166842
PQ221490.1,OZ375330.1,OZ474841.1,205,57,24,0.000000000000,0,-14.2535,0.00000,4.415185e-06,34857,124956-128565 & 165218-165915,124956-128565 & 166658-166842
PQ221490.1,OZ375330.1,OZ474765.1,205,56,24,0.000000000000,0,-14.4862,0.00000,2.583890e-06,34817,124956-128565 & 165218-165915,124956-128565 & 166658-166842
PQ221490.1,OZ375330.1,OZ254710.1,190,50,18,0.000000000063,0,-10.2037,0.04831,4.830713e-02,32646,124956-128565 & 165218-165915,124956-128565 & 166658-166842
PQ221490.1,OZ375330.1,OZ245035.1,207,52,20,0.000000000001,0,-12.0794,0.00066,6.589677e-04,34857,124956-128565 & 165218-165915,124956-128565 & 166658-166842
PQ221490.1,OZ375330.1,OZ245037.1,208,54,20,0.000000000002,0,-11.7192,0.00151,1.509793e-03,34857,124956-128565 & 165218-165915,124956-128565 & 166658-166842
PQ221490.1,OZ375330.1,OZ254271.1,206,54,20,0.000000000002,0,-11.6449,0.00179,1.791155e-03,34795,124956-128565 & 165218-165915,124956-128565 & 166658-166842
