P_name,Q_name,C_name,m,n,k,p,HS?,log10(p),DS(p),DS(p),min_rec_length,breakpoints
PQ221765.1,OZ375330.1,PZ123392.1,189,60,22,0.000000000005,0,-11.3434,0.00358,3.583040e-03,30821,124956-127809 & 161993-162241
PQ221765.1,OZ375330.1,PZ123394.1,186,62,24,0.000000000001,0,-12.2729,0.00042,4.220764e-04,30834,124956-127809 & 161993-162241
PQ221765.1,OZ375330.1,PZ123393.1,188,60,22,0.000000000005,0,-11.2989,0.00397,3.968987e-03,30827,124956-127809 & 161993-162241
PQ221765.1,OZ375330.1,PZ346334.1,187,65,27,0.000000000000,0,-13.8874,0.00001,1.025658e-05,32408,124956-127809 & 161993-162241
PQ221765.1,OZ375330.1,PX442285.1,186,65,27,0.000000000000,0,-13.8322,0.00001,1.164770e-05,32406,124956-127809 & 161993-162241
PQ221765.1,OZ375330.1,PV844899.1,189,63,25,0.000000000000,0,-12.9502,0.00009,8.876779e-05,32287,124956-127809 & 161993-162241
PQ221765.1,OZ375330.1,PV849428.1,188,64,27,0.000000000000,0,-14.1702,0.00001,5.347843e-06,32404,124956-127809 & 161993-162241
PQ221765.1,OZ375330.1,PV294984.1,190,62,23,0.000000000002,0,-11.7343,0.00146,1.458252e-03,32405,124956-127809 & 161993-162241
PQ221765.1,OZ375330.1,PV448277.1,190,62,23,0.000000000002,0,-11.7343,0.00146,1.458252e-03,32408,124956-127809 & 161993-162241
PQ221765.1,OZ375330.1,PV394719.1,191,61,23,0.000000000001,0,-11.9764,0.00084,8.352509e-04,32405,124956-127809 & 161993-162241
PQ221765.1,OZ375330.1,PQ963869.1,188,64,27,0.000000000000,0,-14.1702,0.00001,5.347843e-06,32408,124956-127809 & 161993-162241
PQ221765.1,OZ375330.1,PV002568.1,189,62,23,0.000000000002,0,-11.6880,0.00162,1.622220e-03,32393,124956-127809 & 161993-162241
PQ221765.1,OZ375330.1,PQ352021.1,176,59,22,0.000000000011,0,-10.9398,0.00905,9.050732e-03,30712,124956-127809 & 161993-162241
PQ221765.1,OZ375330.1,PQ499044.2,189,63,25,0.000000000000,0,-12.9502,0.00009,8.876779e-05,32408,124956-127809 & 161993-162241
PQ221765.1,OZ375330.1,PQ628240.1,185,62,23,0.000000000003,0,-11.5004,0.00250,2.497098e-03,32405,124956-127809 & 161993-162241
PQ221765.1,OZ375330.1,PQ662929.1,190,62,23,0.000000000002,0,-11.7343,0.00146,1.458252e-03,32397,124956-127809 & 161993-162241
PQ221765.1,OZ375330.1,PQ305763.1,183,51,19,0.000000000029,0,-10.5439,0.02237,2.236710e-02,29650,124956-127809 & 160646-161995
PQ221765.1,OZ375330.1,PQ305768.1,176,51,19,0.000000000055,0,-10.2622,0.04236,4.235537e-02,27891,124956-127809 & 161993-162241,130270-130472 & 161993-162241
PQ221765.1,OZ375330.1,OZ254482.1,189,62,23,0.000000000002,0,-11.6880,0.00162,1.622220e-03,32213,124956-127809 & 161993-162241
PQ221765.1,OZ375330.1,OZ254487.1,182,60,21,0.000000000048,0,-10.3147,0.03762,3.762114e-02,30245,124956-127809 & 161993-162241
PQ221765.1,OZ375330.1,OZ254499.1,181,60,21,0.000000000054,0,-10.2708,0.04154,4.153878e-02,30514,124956-127809 & 161993-162241
PQ221765.1,OZ375330.1,OZ254531.1,182,60,21,0.000000000048,0,-10.3147,0.03762,3.762114e-02,30506,124956-127809 & 161993-162241
PQ221765.1,OZ375330.1,OZ254587.1,174,58,21,0.000000000047,0,-10.3235,0.03688,3.687749e-02,30262,124956-127809 & 161993-162241
PQ221765.1,OZ375330.1,PX925915.1,179,65,27,0.000000000000,0,-13.4378,0.00003,2.888256e-05,32401,124956-127809 & 161993-162241
PQ221765.1,OZ375330.1,PX480709.1,173,62,26,0.000000000000,0,-13.0468,0.00007,7.106372e-05,30969,124956-127809 & 161993-162241
PQ221765.1,OZ375330.1,PQ305803.1,180,54,20,0.000000000024,0,-10.6133,0.01910,1.909502e-02,28396,124956-127809 & 161993-162241,130270-130472 & 161993-162241
PQ221765.1,OZ375330.1,OZ474764.1,187,62,27,0.000000000000,0,-14.5857,0.00000,2.054404e-06,32370,124956-127809 & 161993-162241
PQ221765.1,OZ375330.1,OZ474840.1,187,65,27,0.000000000000,0,-13.8874,0.00001,1.025658e-05,32408,124956-127809 & 161993-162241
PQ221765.1,OZ375330.1,OZ474841.1,187,65,27,0.000000000000,0,-13.8874,0.00001,1.025658e-05,32408,124956-127809 & 161993-162241
PQ221765.1,OZ375330.1,OZ474765.1,187,62,27,0.000000000000,0,-14.5857,0.00000,2.054404e-06,32371,124956-127809 & 161993-162241
PQ221765.1,OZ375330.1,OZ474842.1,187,65,27,0.000000000000,0,-13.8874,0.00001,1.025658e-05,32408,124956-127809 & 161993-162241
PQ221765.1,OZ375330.1,OZ254330.1,180,60,21,0.000000000059,0,-10.2267,0.04588,4.587741e-02,30509,124956-127809 & 161993-162241
PQ221765.1,OZ375330.1,OZ254387.1,184,60,21,0.000000000040,0,-10.4018,0.03089,3.088799e-02,30188,124956-127809 & 161993-162241
PQ221765.1,OZ375330.1,PZ346336.1,187,65,27,0.000000000000,0,-13.8874,0.00001,1.025658e-05,32408,124956-127809 & 161993-162241
