P_name,Q_name,C_name,m,n,k,p,HS?,log10(p),DS(p),DS(p),min_rec_length,breakpoints
OZ235149.1,OZ375330.1,PZ390100.1,246,86,39,0.000000000000,0,-21.3601,0.00000,3.454209e-13,68502,93744-94404 & 165142-165403
OZ235149.1,OZ375330.1,PV294984.1,246,86,39,0.000000000000,0,-21.3601,0.00000,3.454209e-13,68499,93744-94404 & 165142-165403
OZ235149.1,OZ375330.1,PQ499044.2,246,86,39,0.000000000000,0,-21.3601,0.00000,3.454209e-13,68502,93744-94404 & 165142-165403
OZ235149.1,OZ375330.1,PQ305768.1,226,80,38,0.000000000000,0,-20.9057,0.00000,9.832936e-13,65660,93744-94404 & 165142-165403
OZ235149.1,OZ375330.1,PQ305776.1,239,83,39,0.000000000000,0,-21.7130,0.00000,1.532471e-13,67801,93744-94404 & 165142-165403
OZ235149.1,OZ375330.1,PQ305777.1,222,77,35,0.000000000000,0,-19.0987,0.00000,6.305626e-11,62424,93744-94404 & 165142-165403
OZ235149.1,OZ375330.1,PQ305782.1,238,82,38,0.000000000000,0,-21.1268,0.00000,5.910682e-13,67586,93744-94404 & 165142-165403
OZ235149.1,OZ375330.1,PQ305781.1,228,75,38,0.000000000000,0,-22.4649,0.00000,2.713630e-14,62511,93744-94404 & 165142-165403
OZ235149.1,OZ375330.1,PQ305794.1,239,85,38,0.000000000000,0,-20.4159,0.00000,3.037489e-12,67884,93744-94404 & 165142-165403
OZ235149.1,OZ375330.1,PQ221889.1,234,80,38,0.000000000000,0,-21.4152,0.00000,3.042245e-13,66983,93744-94404 & 165142-165403
OZ235149.1,OZ375330.1,PQ221891.1,233,80,38,0.000000000000,0,-21.3524,0.00000,3.515642e-13,67086,93744-94404 & 165142-165403
OZ235149.1,OZ375330.1,PQ221895.1,224,75,36,0.000000000000,0,-20.5506,0.00000,2.227582e-12,64074,93744-94404 & 165142-165403
OZ235149.1,OZ375330.1,PQ221908.1,231,80,39,0.000000000000,0,-22.0297,0.00000,7.391001e-14,66517,93744-94404 & 165142-165403
OZ235149.1,OZ375330.1,PQ221909.1,234,81,38,0.000000000000,0,-21.1443,0.00000,5.676547e-13,67094,93744-94404 & 165142-165403
OZ235149.1,OZ375330.1,PP601212.1,235,84,37,0.000000000000,0,-19.6620,0.00000,1.723449e-11,66753,93744-94404 & 165142-165403
OZ235149.1,OZ375330.1,PP601213.1,246,86,39,0.000000000000,0,-21.3601,0.00000,3.454209e-13,68502,93744-94404 & 165142-165403
OZ235149.1,OZ375330.1,PP601222.1,246,86,39,0.000000000000,0,-21.3601,0.00000,3.454209e-13,68502,93744-94404 & 165142-165403
OZ235149.1,OZ375330.1,OZ453692.1,242,87,38,0.000000000000,0,-20.1046,0.00000,6.220217e-12,68331,93744-94404 & 165142-165403
OZ235149.1,OZ375330.1,OZ413597.1,241,80,38,0.000000000000,0,-21.8482,0.00000,1.122685e-13,66619,93744-94404 & 165142-165403
OZ235149.1,OZ375330.1,OZ254479.1,224,80,37,0.000000000000,0,-19.9956,0.00000,7.994560e-12,65818,93744-94404 & 165142-165403
OZ235149.1,OZ375330.1,OZ254496.1,229,81,37,0.000000000000,0,-20.0494,0.00000,7.063340e-12,66591,93744-94404 & 165142-165403
OZ235149.1,OZ375330.1,OZ244989.1,246,86,39,0.000000000000,0,-21.3601,0.00000,3.454209e-13,68502,93744-94404 & 165142-165403
OZ235149.1,OZ375330.1,OZ254245.1,231,84,37,0.000000000000,0,-19.4171,0.00000,3.029068e-11,66600,93744-94404 & 165142-165403
PQ221701.1,OZ375330.1,OZ254302.1,231,76,36,0.000000000000,0,-20.7037,0.00000,1.565801e-12,63583,93744-97285 & 165218-165403
OZ235149.1,OZ375330.1,OZ254387.1,242,81,37,0.000000000000,0,-20.8386,0.00000,1.147675e-12,66280,93744-94404 & 165142-165403
OZ235149.1,OZ375330.1,OZ254402.1,231,80,37,0.000000000000,0,-20.4343,0.00000,2.911786e-12,66527,93744-94404 & 165142-165403
OZ235149.1,OZ375330.1,PZ390103.1,246,86,39,0.000000000000,0,-21.3601,0.00000,3.454209e-13,68502,93744-94404 & 165142-165403
OZ235149.1,OZ375330.1,PX480709.1,226,85,38,0.000000000000,0,-19.5973,0.00000,2.000319e-11,67068,93744-94404 & 165142-165403
