P_name,Q_name,C_name,m,n,k,p,HS?,log10(p),DS(p),DS(p),min_rec_length,breakpoints
OZ235149.1,OZ375330.1,PQ305808.1,181,55,23,0.000000000000,0,-12.7755,0.00013,1.327124e-04,63886,93744-97018 & 165063-165915,93744-97018 & 166392-167574
OZ235149.1,OZ375330.1,PZ123394.1,190,59,24,0.000000000000,0,-13.1038,0.00006,6.231569e-05,64170,93744-97018 & 165063-165915
OZ235149.1,OZ375330.1,PV849428.1,191,62,27,0.000000000000,0,-14.8044,0.00000,1.241662e-06,65818,93744-97018 & 165063-165915,93744-97018 & 166392-167574
OZ235149.1,OZ375330.1,PV448277.1,193,60,23,0.000000000001,0,-12.2684,0.00043,4.265265e-04,65824,93744-97018 & 165063-165915,93744-97018 & 166392-167574
OZ235149.1,OZ375330.1,PV394719.1,194,59,23,0.000000000000,0,-12.5187,0.00024,2.396902e-04,65821,93744-97018 & 165063-165915,93744-97018 & 166392-167574
OZ235149.1,OZ375330.1,PQ628240.1,188,60,23,0.000000000001,0,-12.0376,0.00073,7.255444e-04,65821,93744-97018 & 165063-165915,93744-97018 & 166392-167574
OZ235149.1,OZ375330.1,PX925915.1,182,63,27,0.000000000000,0,-14.0687,0.00001,6.756782e-06,65809,93744-97018 & 165063-165915,93744-97018 & 166392-167574
OZ235149.1,OZ375330.1,PZ123392.1,192,57,22,0.000000000001,0,-12.0682,0.00068,6.761520e-04,64198,93744-97018 & 165063-165915
OZ235149.1,OZ375330.1,PX442285.1,189,63,27,0.000000000000,0,-14.4577,0.00000,2.758512e-06,65821,93744-97018 & 165063-165915,93744-97018 & 166392-167574
OZ235149.1,OZ375330.1,PX480709.1,178,62,26,0.000000000000,0,-13.3282,0.00004,3.716865e-05,64387,93744-97018 & 165063-165915,93744-97018 & 166392-167574
OZ235149.1,OZ375330.1,PQ963869.1,191,62,27,0.000000000000,0,-14.8044,0.00000,1.241662e-06,65824,93744-97018 & 165063-165915,93744-97018 & 166392-167574
OZ235149.1,OZ375330.1,PQ240043.1,193,60,23,0.000000000001,0,-12.2684,0.00043,4.265265e-04,65824,93744-97018 & 165063-165915,93744-97018 & 166392-167574
OZ235149.1,OZ375330.1,PQ178862.2,193,60,23,0.000000000001,0,-12.2684,0.00043,4.265265e-04,65824,93744-97018 & 165063-165915,93744-97018 & 166392-167574
OZ235149.1,OZ375330.1,OZ462706.1,185,59,27,0.000000000000,0,-15.2209,0.00000,4.759438e-07,63343,93744-97018 & 165063-165915,93744-97018 & 166392-167574
OZ235149.1,OZ375330.1,OZ462771.1,163,61,27,0.000000000000,0,-13.4190,0.00003,3.015684e-05,65008,93744-97018 & 165063-165915,93744-97018 & 166392-167574
OZ235149.1,OZ375330.1,OZ462776.1,168,63,27,0.000000000000,0,-13.2480,0.00004,4.470897e-05,65797,93744-97018 & 165063-165915,93744-97018 & 166392-167574
OZ235149.1,OZ375330.1,OZ470124.1,176,59,27,0.000000000000,0,-14.7068,0.00000,1.554608e-06,61086,93744-97018 & 165063-165915,93744-97018 & 166392-167574
OZ235149.1,OZ375330.1,OZ470950.1,177,62,28,0.000000000000,0,-14.7815,0.00000,1.308850e-06,63374,93744-97018 & 165063-165915,93744-97018 & 166392-167574
OZ235149.1,OZ375330.1,OZ474762.1,190,62,27,0.000000000000,0,-14.7501,0.00000,1.406973e-06,65774,93744-97018 & 165063-165915,93744-97018 & 166392-167574
OZ235149.1,OZ375330.1,OZ474763.1,190,62,27,0.000000000000,0,-14.7501,0.00000,1.406973e-06,65787,93744-97018 & 165063-165915,93744-97018 & 166392-167574
